0,280.65400,-0.07714,0.32373,0.96972
1,280.65800,-0.07690,0.32177,0.96777
2,280.66100,-0.07080,0.32226,0.96801
3,280.66400,-0.07641,0.32250,0.96630
4,280.66700,-0.07519,0.32250,0.96997
5,280.67100,-0.06567,0.32324,0.97070
6,280.67400,-0.07666,0.32202,0.96899
7,280.67700,-0.07690,0.32202,0.96630
8,280.68000,-0.07617,0.32763,0.97021
9,280.68300,-0.06958,0.32592,0.97143
10,280.68600,-0.07739,0.32324,0.97045
11,280.69000,-0.07739,0.32397,0.97167
12,280.69300,-0.07690,0.32104,0.96630
13,280.69600,-0.07836,0.32104,0.97314
14,280.69900,-0.07690,0.32348,0.96728
15,280.70200,-0.07324,0.32153,0.97363
16,280.70600,-0.07666,0.32690,0.97094
17,280.70900,-0.07739,0.32324,0.97045
18,280.71200,-0.07543,0.32080,0.97070
19,280.71600,-0.07714,0.32446,0.96948
20,280.71900,-0.07495,0.32470,0.96850
21,280.72200,-0.07446,0.31713,0.97387
22,280.72600,-0.07543,0.32250,0.97045
23,280.72900,-0.07812,0.32519,0.95385
24,280.73200,-0.08056,0.32397,0.97314
25,280.73500,-0.07470,0.32617,0.96972
26,280.73900,-0.07666,0.32348,0.96899
27,280.74200,-0.07006,0.32592,0.98339
28,280.74500,-0.07836,0.32226,0.96826
29,280.74800,-0.07910,0.32250,0.97290
30,280.75200,-0.07788,0.32250,0.95483
31,280.75500,-0.07958,0.32885,0.97167
32,280.75800,-0.07421,0.32226,0.97387
33,280.76100,-0.07543,0.32104,0.96655
34,280.76400,-0.07763,0.32446,0.98339
35,280.76800,-0.07666,0.32666,0.97021
36,280.77100,-0.07739,0.32373,0.96875
37,280.77400,-0.07617,0.32250,0.97045
38,280.77700,-0.07592,0.32324,0.96777
39,280.78000,-0.07666,0.32495,0.95483
40,280.78400,-0.07617,0.32104,0.98413
41,280.78700,-0.07714,0.32080,0.96679
42,280.79000,-0.07519,0.32373,0.97192
43,280.79300,-0.06298,0.32202,0.97216
44,280.79600,-0.07763,0.32250,0.98413
45,280.80000,-0.07739,0.32299,0.95361
46,280.80300,-0.08081,0.32153,0.96997
47,280.80600,-0.09301,0.32836,0.96899
48,280.80900,-0.07153,0.32080,0.96923
49,280.81200,-0.07617,0.32397,0.97290
50,280.81500,-0.07641,0.32202,0.98339
51,280.81900,-0.07470,0.32666,0.96752
52,280.82200,-0.07470,0.32446,0.96435
53,280.82500,-0.07324,0.32373,0.96972
54,280.82800,-0.07592,0.32714,0.97094
55,280.83100,-0.07495,0.32153,0.97119
56,280.83500,-0.07519,0.32250,0.96997
57,280.83800,-0.09155,0.32275,0.96557
58,280.84100,-0.06274,0.32177,0.96948
59,280.84400,-0.07543,0.32250,0.96362
60,280.84700,-0.07690,0.32202,0.97412
61,280.85100,-0.07543,0.32250,0.96948
62,280.85400,-0.09350,0.32739,0.96972
63,280.85700,-0.07690,0.32080,0.96704
64,280.86000,-0.07446,0.32714,0.97143
65,280.86300,-0.07617,0.31982,0.97045
66,280.86600,-0.08081,0.32202,0.96972
67,280.87000,-0.06396,0.32373,0.97265
68,280.87300,-0.07617,0.32031,0.96801
69,280.87600,-0.07617,0.32250,0.95410
70,280.87900,-0.07788,0.32519,0.96899
71,280.88200,-0.07666,0.32666,0.96948
72,280.88600,-0.07714,0.32446,0.97045
73,280.88900,-0.07446,0.32299,0.96850
74,280.89200,-0.07250,0.32275,0.98364
75,280.89500,-0.07666,0.32250,0.97338
76,280.89800,-0.07495,0.32324,0.97167
77,280.90200,-0.07714,0.32275,0.97412
78,280.90500,-0.07446,0.32299,0.97338
79,280.90800,-0.07495,0.32373,0.96801
80,280.91100,-0.07470,0.32153,0.96875
81,280.91500,-0.07617,0.32397,0.97192
82,280.91800,-0.07641,0.32397,0.96972
83,280.92100,-0.07495,0.32006,0.96972
84,280.92400,-0.07348,0.32397,0.97119
85,280.92800,-0.07299,0.32324,0.97094
86,280.93100,-0.07421,0.32568,0.96948
87,280.93400,-0.07861,0.32397,0.96801
88,280.93700,-0.07470,0.31909,0.96801
89,280.94000,-0.07495,0.32739,0.96679
90,280.94400,-0.07324,0.32495,0.97045
91,280.94700,-0.07690,0.32666,0.96972
92,280.95000,-0.07470,0.32666,0.97119
93,280.95300,-0.07763,0.32373,0.96826
94,280.95700,-0.07470,0.32324,0.95385
95,280.96000,-0.07641,0.32617,0.97143
96,280.96300,-0.07470,0.32617,0.96948
97,280.96700,-0.07348,0.32275,0.95410
98,280.97000,-0.07495,0.32348,0.96801
99,280.97400,-0.07519,0.32568,0.96997
100,280.97700,-0.07592,0.32519,0.96826
101,280.98000,-0.07568,0.32397,0.98364
102,280.98400,-0.07641,0.32641,0.95581
103,280.98700,-0.07617,0.32348,0.96582
104,280.99000,-0.07617,0.32080,0.96850
105,280.99300,-0.09252,0.32446,0.97216
106,280.99600,-0.07617,0.32495,0.97192
107,281.00000,-0.07739,0.32495,0.97192
108,281.00300,-0.07666,0.32373,0.96801
109,281.00600,-0.07641,0.32470,0.95312
110,281.01000,-0.07470,0.32714,0.97290
111,281.01300,-0.07397,0.32177,0.96948
112,281.01600,-0.06420,0.32299,0.96606
113,281.02000,-0.07836,0.32421,0.96850
114,281.02300,-0.07690,0.32641,0.97021
115,281.02600,-0.07397,0.32421,0.97460
116,281.03000,-0.07543,0.32666,0.97265
117,281.03300,-0.07446,0.32348,0.96972
118,281.03600,-0.08203,0.32495,0.98388
119,281.04000,-0.07714,0.32446,0.96997
120,281.04300,-0.07373,0.32519,0.96948
121,281.04600,-0.07714,0.32373,0.96606
122,281.05000,-0.07690,0.32299,0.97021
123,281.05300,-0.07299,0.32714,0.96972
124,281.05600,-0.07983,0.32177,0.97363
125,281.06000,-0.07763,0.32153,0.97338
126,281.06300,-0.08056,0.32470,0.97167
127,281.06600,-0.07421,0.32421,0.96801
128,281.07000,-0.09228,0.32348,0.97241
129,281.07300,-0.07348,0.32421,0.95776
130,281.07600,-0.07690,0.32055,0.95312
131,281.07900,-0.07666,0.32568,0.96972
132,281.08300,-0.08178,0.32275,0.97119
133,281.08600,-0.07470,0.32397,0.96801
134,281.08900,-0.07495,0.32666,0.97241
