291.465 -0.047 -0.114 1.020
291.469 -0.031 -0.116 1.014
291.473 -0.032 -0.112 1.013
291.476 -0.047 -0.110 1.015
291.479 -0.043 -0.115 1.016
291.483 -0.046 -0.113 1.020
291.486 -0.046 -0.114 1.018
291.489 -0.049 -0.114 1.018
291.492 -0.031 -0.112 1.018
291.496 -0.049 -0.113 1.018
291.499 -0.046 -0.111 1.017
291.502 -0.034 -0.112 1.020
291.506 -0.046 -0.114 1.004
291.509 -0.046 -0.114 1.020
291.512 -0.046 -0.115 1.017
291.516 -0.044 -0.114 1.019
291.519 -0.045 -0.111 1.017
291.522 -0.050 -0.116 1.018
291.526 -0.046 -0.115 1.020
291.529 -0.046 -0.111 1.019
291.532 -0.048 -0.113 1.021
291.536 -0.046 -0.115 1.018
291.539 -0.062 -0.110 1.016
291.542 -0.044 -0.115 1.018
291.545 -0.049 -0.115 1.018
291.549 -0.047 -0.113 1.024
291.552 -0.048 -0.115 1.000
291.556 -0.043 -0.112 1.015
291.559 -0.050 -0.112 1.017
291.562 -0.047 -0.115 1.017
291.566 -0.044 -0.112 1.019
291.569 -0.049 -0.115 1.019
291.573 -0.042 -0.113 1.021
291.576 -0.042 -0.112 1.019
291.580 -0.048 -0.115 1.016
291.584 -0.045 -0.114 1.018
291.587 -0.048 -0.113 1.017
291.590 -0.046 -0.112 1.017
291.594 -0.031 -0.114 1.018
291.597 -0.049 -0.114 1.021
291.601 -0.049 -0.114 1.020
291.604 -0.048 -0.095 1.017
291.607 -0.045 -0.121 1.018
291.610 -0.047 -0.112 1.018
291.613 -0.044 -0.116 1.019
291.617 -0.046 -0.114 1.019
291.620 -0.062 -0.116 1.020
291.623 -0.048 -0.114 1.001
291.626 -0.046 -0.116 1.018
291.629 -0.062 -0.116 1.018
291.633 -0.032 -0.117 1.018
291.636 -0.045 -0.110 1.019
291.639 -0.047 -0.113 1.018
291.642 -0.047 -0.112 1.015
291.645 -0.050 -0.118 1.018
291.649 -0.045 -0.114 1.018
291.652 -0.046 -0.113 1.015
291.655 -0.046 -0.118 1.016
291.658 -0.049 -0.115 1.020
291.662 -0.045 -0.114 1.020
291.665 -0.046 -0.110 1.018
291.668 -0.044 -0.116 1.013
291.671 -0.044 -0.111 1.011
291.674 -0.048 -0.113 1.019
291.678 -0.049 -0.118 1.019
291.681 -0.048 -0.115 1.017
291.684 -0.045 -0.115 1.018
291.687 -0.045 -0.112 1.017
291.691 -0.041 -0.118 1.018
291.694 -0.046 -0.115 1.021
291.697 -0.044 -0.114 1.019
291.700 -0.049 -0.113 1.016
291.704 -0.048 -0.113 1.021
291.707 -0.049 -0.110 1.020
291.710 -0.032 -0.114 1.019
291.714 -0.046 -0.112 1.016
291.718 -0.045 -0.114 1.022
291.721 -0.046 -0.114 1.020
291.724 -0.062 -0.097 1.021
291.728 -0.044 -0.112 1.021
291.732 -0.060 -0.114 1.016
