Keuwl Accelerometer Data File
2021-05-23 11-18-12

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.055887,-0.111895,1.040493,1.047984,6.854549,296.540039
0.0194218,0.087979,-0.089443,0.936407,0.944775,7.631083,314.527130
0.0388410,0.071384,-0.070041,0.851967,0.857817,6.694978,315.543762
0.0582610,0.062354,-0.105916,1.003520,1.011019,6.982609,300.485748
0.0776811,0.045149,-0.131297,1.039883,1.049111,7.605039,288.976349
0.0971018,0.070774,-0.104818,1.000836,1.008795,7.202251,304.027374
0.1165220,0.071872,-0.083464,0.894798,0.901551,7.017497,310.732117
0.1359430,0.066503,-0.092372,0.959348,0.966076,6.766165,305.751892
0.1553632,0.064672,-0.067723,1.048547,1.052720,5.103384,313.680054
0.1747847,0.055033,-0.053202,0.930672,0.933815,4.701821,315.968842
0.1942047,0.043684,-0.043684,0.951172,0.953176,3.716205,315.000000
0.2136248,0.048687,-0.026967,1.000714,1.002260,3.183277,331.018616
0.2330451,0.062232,-0.031970,0.980214,0.982708,4.082599,332.809265
0.2524675,0.060890,-0.023551,0.967401,0.969602,3.860721,338.854858
0.2718869,0.051860,-0.004027,0.984851,0.986223,3.023362,355.560059
0.2913065,0.053934,-0.020744,0.973136,0.974851,3.398284,338.962494
0.3107279,0.057717,-0.011226,0.994368,0.996105,3.384082,348.993225
0.3301498,0.039902,-0.001098,0.968255,0.969078,2.360740,358.423462
0.3495704,0.056741,-0.013057,0.974235,0.975973,3.420165,347.041382
0.3689927,0.095300,-0.020500,1.003398,1.008122,5.548884,347.860168
0.3884143,-0.020012,-0.008786,0.958860,0.959109,1.305663,203.702652
0.4078357,0.068089,-0.019890,0.983630,0.986185,4.124738,343.716125
0.4272569,0.059303,-0.015009,1.000347,1.002216,3.499335,345.797455
0.4466798,0.028675,-0.020744,0.938604,0.939271,2.159486,324.117859
0.4661020,0.080413,-0.014765,1.016211,1.019494,4.599725,349.595734
0.4855248,0.036729,-0.022940,0.958616,0.959593,2.586567,328.011719
0.5049462,0.023062,-0.019158,0.958616,0.959084,1.791331,320.283997
0.5243697,0.067357,-0.016839,0.998883,1.001293,3.976064,345.963745
0.5437924,0.045759,-0.020256,0.958371,0.959677,2.988979,336.122620
0.5632161,0.045027,-0.019280,0.964351,0.965594,2.907643,336.820160
0.5826393,0.064062,-0.013057,0.999982,1.002117,3.740730,348.480347
0.6020611,0.023184,-0.022086,0.957151,0.957687,1.916017,316.389648
0.6214826,0.054911,-0.029042,0.965937,0.967932,3.679509,332.126129
0.6409070,0.059425,-0.017205,1.007547,1.009445,3.513685,343.852814
0.6603299,0.027211,-0.028187,0.942997,0.943810,2.379157,313.990479
0.6797518,0.070896,-0.027455,0.989244,0.992161,4.394717,338.830444
0.6991724,0.041610,-0.016717,0.978872,0.979898,2.622938,338.111725
0.7185942,0.066869,-0.024893,0.983264,0.985850,4.150486,339.581573
0.7380157,0.048687,-0.032336,0.972526,0.974281,3.439231,326.409454
0.7574388,0.025503,-0.021354,0.973259,0.973827,1.957348,320.059875
0.7768611,0.054178,-0.027943,0.997785,0.999646,3.496144,332.716858
0.7962826,0.051128,-0.030506,0.964595,0.966430,3.531970,329.177216
0.8157045,0.050884,-0.015741,0.973136,0.974593,3.132879,342.810425
0.8351276,0.053690,-0.024527,0.988755,0.990516,3.416384,335.448212
0.8545499,0.040024,-0.028675,0.963619,0.964876,2.925028,324.379791
0.8739721,0.046979,-0.024771,0.982776,0.984210,3.093261,332.198547
0.8933934,0.040634,-0.023917,0.971916,0.973059,2.777349,329.519409
0.9128153,0.061256,-0.032580,0.973625,0.976093,4.076070,331.992706
0.9322370,0.042586,-0.026967,0.991684,0.992964,2.909797,327.656464
0.9516589,0.054056,-0.025625,0.957639,0.959506,3.574565,334.637146
0.9710798,0.054178,-0.034777,0.991440,0.993528,3.715309,327.303925
0.9905011,0.020256,-0.035265,0.962154,0.963013,2.420346,299.872833
1.0099237,0.063086,-0.030994,0.985583,0.988086,4.079192,333.835297
1.0293462,0.060280,-0.032946,0.970940,0.973367,4.046995,331.340820
1.0487686,0.041854,-0.037095,0.961666,0.963291,3.328373,318.449524
