Keuwl Accelerometer Data File
2021-04-11 16-39-04

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.072116,0.570581,0.698584,0.904866,39.463478,82.796577
0.0193931,0.091396,0.565944,0.732506,0.930168,38.047573,80.826393
0.0387871,0.127636,0.609873,0.797179,1.011795,38.011669,78.179535
0.0581816,0.140205,0.652215,0.813042,1.051703,39.369457,77.867912
0.0775743,0.104452,0.629885,0.855018,1.067108,36.750618,80.584480
0.0969662,0.093104,0.625248,0.880155,1.083640,35.686535,81.530487
0.1163578,0.141181,0.610605,0.839155,1.047354,36.753841,76.981133
0.1357490,0.150699,0.572534,0.809259,1.002699,36.188316,75.253433
0.1551398,0.207196,0.523480,0.847941,1.017824,33.582333,68.406136
0.1745324,0.262228,0.502370,0.873199,1.040969,32.982899,62.436249
0.1939249,0.261618,0.416344,0.903583,1.028712,28.554422,57.855957
0.2133188,0.158752,0.324094,0.950806,1.016992,20.784706,63.902798
0.2327137,0.027211,0.275285,0.943119,0.982850,16.346947,84.354790
0.2521075,0.071628,0.276261,1.016699,1.055996,15.679863,75.464668
0.2715003,0.201583,0.322020,1.163249,1.223716,18.086769,57.953651
0.2908932,0.182181,0.363142,1.040981,1.117454,21.319876,63.357990
0.3102857,0.151187,0.215981,0.564480,0.623011,25.034801,55.007984
0.3296776,0.022086,-0.132029,-0.079315,0.155597,120.647011,279.496674
0.3490685,-0.144354,-0.241850,0.596572,0.659718,25.273033,239.168213
0.3684615,0.186452,-0.032702,1.255499,1.269689,8.574209,350.051941
0.3878539,0.578879,0.203413,1.447075,1.571784,22.977551,19.361029
0.4072464,0.571191,0.227330,1.227067,1.372455,26.611101,21.702156
0.4266403,0.400115,0.093714,1.050621,1.128131,21.362591,13.182070
0.4460344,0.247585,0.021842,0.907732,0.941144,15.312900,5.041627
0.4654272,0.019158,-0.007809,0.636352,0.636688,1.861935,337.822052
0.4848209,-0.009274,0.065649,0.449168,0.454035,8.396624,98.040627
0.5042126,0.081390,0.056009,0.572778,0.581236,9.786692,34.534035
0.5236044,0.057961,0.107503,0.688578,0.699325,10.057898,61.668228
0.5429968,-0.034655,0.095422,0.828661,0.834856,6.984576,109.959572
0.5623909,0.044661,0.070041,1.265749,1.268471,3.754785,57.477165
0.5817850,0.106404,0.152163,1.286981,1.300306,8.209563,55.035744
0.6011789,0.114214,0.189746,1.364099,1.381961,9.221811,58.955036
0.6205739,0.156190,0.314088,3.057784,3.077838,6.544216,63.559738
0.6399676,-0.103964,0.097985,0.025137,0.145056,80.020844,136.695877
0.6593609,0.090541,0.503590,0.868928,1.008384,30.491531,79.807594
0.6787548,0.324826,0.471376,1.594723,1.694358,19.746607,55.429203
0.6981488,0.188892,0.257713,1.142017,1.185875,15.631114,53.760281
0.7175404,0.143866,0.037827,0.464543,0.487779,17.756048,14.731602
0.7369334,0.297127,-0.066381,1.279903,1.315615,13.380328,347.406433
0.7563266,0.041366,-0.124342,0.817069,0.827510,9.111539,288.401215
0.7757189,0.135202,-0.074434,1.361171,1.369893,6.468933,331.165375
0.7951120,0.233919,0.028920,0.790712,0.825093,16.598551,7.047753
0.8145055,-0.024649,0.129101,0.301886,0.329256,23.526979,100.809181
0.8338987,0.105916,-0.107991,1.706619,1.713309,5.065040,314.444397
0.8532915,0.120925,-0.016717,1.283442,1.289234,5.433360,352.129089
0.8726830,-0.088833,0.066747,0.515427,0.527268,12.165507,143.079773
0.8920761,-0.037461,0.022452,0.548861,0.550596,4.549628,149.063690
0.9114673,0.035997,-0.015863,1.396436,1.396990,1.613618,336.217957
0.9308574,-0.002318,-0.006955,1.084666,1.084691,0.387654,251.565048
0.9502481,-0.026357,0.021964,0.798521,0.799258,2.460209,140.194427
0.9696413,0.003783,0.017693,0.960690,0.960860,1.078834,77.932236
0.9890348,-0.009396,-0.003539,1.064166,1.064213,0.540317,200.637543
1.0084277,-0.017937,0.006345,0.950440,0.950631,1.146883,160.519196
1.0278213,0.000732,0.014521,0.948244,0.948355,0.878487,87.113579
1.0472136,-0.016839,0.004881,1.014380,1.014532,0.990316,163.835495
1.0666075,-0.013911,0.007199,0.966425,0.966552,0.928517,152.636459
1.0860018,-0.007565,0.007809,0.970452,0.970513,0.641940,134.090622
1.1053952,-0.011104,0.006101,0.986681,0.986762,0.735419,151.213379
1.1247889,-0.020378,0.004027,0.975455,0.975676,1.219809,168.822083
